Datetime,open,high,low,close,volume
2021-06-09 12:39,1.21943,1.21946,1.21939,1.21944,35
2021-06-09 12:40,1.21941,1.21952,1.2194,1.21949,51
2021-06-09 12:41,1.2195,1.21965,1.2195,1.21954,66
2021-06-09 12:42,1.21956,1.21959,1.21947,1.21958,69
2021-06-09 12:43,1.21958,1.21958,1.21944,1.21945,96
2021-06-09 12:44,1.21946,1.21948,1.21938,1.21939,66
2021-06-09 12:45,1.21939,1.2194,1.21933,1.2194,55
2021-06-09 12:46,1.21939,1.21951,1.21939,1.2195,63
2021-06-09 12:47,1.21948,1.21955,1.21942,1.21947,111
2021-06-09 12:48,1.21948,1.21957,1.21948,1.21957,31
2021-06-09 12:49,1.21958,1.21958,1.21946,1.21949,36
2021-06-09 12:50,1.2195,1.21955,1.21948,1.2195,70
2021-06-09 12:51,1.21952,1.21963,1.21952,1.21959,46
2021-06-09 12:52,1.2196,1.21961,1.21952,1.21956,22
2021-06-09 12:53,1.21956,1.2196,1.21953,1.21958,28
2021-06-09 12:54,1.21958,1.2196,1.2195,1.2196,98
2021-06-09 12:55,1.21961,1.21962,1.21957,1.2196,30
2021-06-09 12:56,1.21961,1.21963,1.21954,1.21959,68
2021-06-09 12:57,1.2196,1.21963,1.21949,1.21963,51
2021-06-09 12:58,1.21962,1.21964,1.21943,1.21948,97
2021-06-09 12:59,1.2195,1.21955,1.21945,1.21946,63
2021-06-09 13:00,1.21946,1.21957,1.21946,1.21954,75
2021-06-09 13:01,1.21953,1.21965,1.2195,1.21965,73
2021-06-09 13:02,1.21964,1.21965,1.21957,1.21964,57
2021-06-09 13:03,1.21962,1.21967,1.21958,1.21966,72
2021-06-09 13:04,1.21967,1.21973,1.21965,1.21969,40
2021-06-09 13:05,1.21968,1.22002,1.21963,1.21998,72
2021-06-09 13:06,1.21999,1.22011,1.21993,1.21999,118
2021-06-09 13:07,1.22,1.22016,1.21997,1.22009,54
2021-06-09 13:08,1.22011,1.22035,1.22008,1.22028,92
2021-06-09 13:09,1.22029,1.22036,1.22023,1.22036,53
2021-06-09 13:10,1.22033,1.22041,1.22031,1.22039,70
2021-06-09 13:11,1.22037,1.2204,1.22029,1.22031,69
2021-06-09 13:12,1.2203,1.22034,1.22028,1.22032,55
2021-06-09 13:13,1.22032,1.2205,1.2203,1.22044,44
2021-06-09 13:14,1.22044,1.22044,1.22037,1.22039,59
2021-06-09 13:15,1.22041,1.22052,1.22041,1.2205,67
2021-06-09 13:16,1.2205,1.22079,1.2205,1.22069,94
2021-06-09 13:17,1.22069,1.22077,1.22069,1.2207,59
2021-06-09 13:18,1.22072,1.22077,1.22068,1.22068,27
2021-06-09 13:19,1.22068,1.22083,1.22067,1.22076,70
2021-06-09 13:20,1.22077,1.22081,1.22067,1.22072,91
